,name,id,start_date,average_cadence
31,Entraînement 10km Rouen,15329695967,2025-08-03T11:37:53Z,78.0
32,Entraînement 10km Rouen,15317525853,2025-08-02T10:28:03Z,78.5
33,"Entraînement 10km Rouen
Séance 2:
Course 31min: 5:40",15306203468,2025-08-01T09:04:56Z,79.1
34,"Entraînement 10km Rouen
Séance 1:

Échauffement 10min: 5:45/6:00
Pause 30s
Course 15min: 5:00/5:15
Pause 30s
Récup 10min: 5:45/6:00",15297817567,2025-07-31T13:00:00Z,79.4
35,Afternoon Run,15285997331,2025-07-30T12:14:42Z,77.9
36,Afternoon Run,15263326373,2025-07-28T13:00:32Z,78.6
37,Afternoon Run,15005178636,2025-07-04T14:09:23Z,81.7
38,Afternoon Run,14932925820,2025-06-27T14:39:50Z,78.3
39,Afternoon Run,14900433439,2025-06-24T12:17:01Z,79.6
40,Afternoon Run,14891351850,2025-06-23T14:56:52Z,78.6
41,Afternoon Run,14859329053,2025-06-20T11:52:36Z,82.3
42,Afternoon Run,14849530931,2025-06-19T12:52:26Z,78.4
43,Afternoon Run,14827190315,2025-06-17T12:20:27Z,82.0
44,Afternoon Run,14765585964,2025-06-11T11:56:26Z,80.5
45,Afternoon Run,14705674214,2025-06-05T15:24:59Z,79.8
46,Afternoon Run,14672412149,2025-06-02T13:09:39Z,78.6
47,Afternoon Run,14599074552,2025-05-26T11:23:44Z,81.2
48,Lunch Run,14588937438,2025-05-25T10:24:18Z,79.5
49,Lunch Run,14559614406,2025-05-22T10:53:03Z,80.9
50,Afternoon Run,14527881525,2025-05-19T11:34:24Z,83.7
51,Afternoon Run,14519123569,2025-05-18T12:57:57Z,83.7
52,Evening Run,14500287563,2025-05-16T16:39:25Z,80.9
53,Morning Run,14463939601,2025-05-13T07:18:08Z,78.2
54,Afternoon Run,14446878617,2025-05-11T13:06:14Z,82.8
55,Afternoon Run,14425356169,2025-05-09T12:37:12Z,80.0
56,New 5k PR 🎉,14406606206,2025-05-07T13:32:10Z,82.1
57,Miss PB...,14386025142,2025-05-05T15:33:41Z,82.1
58,Afternoon Run,14365889461,2025-05-03T14:25:09Z,80.9
59,Afternoon Run,14353861867,2025-05-02T11:53:41Z,80.5
60,Afternoon Run,14321852871,2025-04-29T12:39:57Z,80.9
61,Chill 5k,14312012122,2025-04-28T13:43:08Z,79.4
62,Afternoon Run,14295308324,2025-04-26T12:43:02Z,81.0
63,5km sub 24,14250549284,2025-04-22T10:31:46Z,82.4
64,Test allure 4:30 pt.2,14234124909,2025-04-20T15:08:01Z,83.0
65,Test allure 4:30 pt.1,14234124267,2025-04-20T14:53:47Z,82.9
66,Afternoon Run,14223985631,2025-04-19T14:04:22Z,79.9
67,Afternoon Run,14194133150,2025-04-16T13:15:32Z,80.3
68,Afternoon Run,14175557185,2025-04-14T15:19:54Z,79.1
69,First Toinz's run of 2025,14164796198,2025-04-13T11:34:33Z,79.4
70,5km EF,14147587813,2025-04-11T16:20:45Z,78.9
71,cardio after workout,14106868843,2025-04-07T14:04:44Z,81.4
72,Chill 5k,14088066118,2025-04-05T14:12:36Z,79.0
73,Afternoon Run,14078305148,2025-04-04T14:12:20Z,82.6
74,ez,14068494201,2025-04-03T13:40:10Z,78.7
75,Afternoon Run,14061678650,2025-04-02T14:44:38Z,78.3
76,Afternoon Run,14038383362,2025-03-31T12:46:45Z,81.1
77,10k in pain,14020823219,2025-03-29T13:41:13Z,80.1
78,Afternoon Run,14002587041,2025-03-27T14:30:01Z,80.0
79,1h run,13993907029,2025-03-26T15:39:30Z,79.6
80,Lunch Run,13972077955,2025-03-24T11:11:08Z,78.5
81,Afternoon Run,13954304186,2025-03-22T12:52:39Z,78.3
82,First 5k,13943708973,2025-03-21T10:19:01Z,81.5
83,Afternoon Run,13927346809,2025-03-19T14:44:23Z,75.2
84,Lunch Run,13906587182,2025-03-17T10:56:18Z,77.4
85,Evening Run,13901459544,2025-03-16T17:21:03Z,78.0
